Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Discount_Percentage,Final_Paid_Amount,Payment_Method,Is_Event
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,0,1200.0,UPI,No
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,0,90.0,Credit Card,No
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,15,85.0,Credit Card,Yes
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,0,150.0,Cash,No
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,10,810.0,Credit Card,Yes
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,0,900.0,Cash,No
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,0,75.0,UPI,No
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,25,150.0,Credit Card,Yes
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,0,120.0,UPI,No
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,0,50.0,Debit Card,No
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,0,50.0,Credit Card,No
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,10,810.0,Credit Card,Yes
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,0,300.0,Credit Card,No
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,25,18.75,Debit Card,Yes
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,0,30.0,Cash,No
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,0,1200.0,Credit Card,No
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,0,1500.0,Debit Card,No
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,25,675.0,UPI,Yes
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,0,1000.0,UPI,No
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,10,67.5,Debit Card,Yes
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,0,75.0,Credit Card,No
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,0,300.0,Cash,No
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,25,75.0,Credit Card,Yes
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,0,1500.0,Credit Card,No
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,25,90.0,Debit Card,Yes
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,25,675.0,UPI,Yes
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,0,30.0,UPI,No
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,0,1200.0,Credit Card,No
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,0,50.0,Cash,No
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,0,150.0,Debit Card,No
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,0,200.0,Credit Card,No
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,0,100.0,Debit Card,No
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,0,50.0,Cash,No
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,25,75.0,UPI,Yes
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,10,1800.0,UPI,Yes
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,0,30.0,UPI,No
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,0,1200.0,Cash,No
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,15,255.0,Debit Card,Yes
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,0,75.0,Cash,No
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,0,300.0,Credit Card,No
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,0,100.0,Debit Card,No
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,5,1900.0,UPI,Yes
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,0,90.0,UPI,No
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,0,2000.0,Cash,No
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,0,200.0,Cash,No
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,0,100.0,UPI,No
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,0,100.0,UPI,No
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,25,1125.0,UPI,Yes
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,0,300.0,Credit Card,No
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,0,60.0,UPI,No
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,0,50.0,Credit Card,No
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,10,180.0,UPI,Yes
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,25,75.0,UPI,Yes
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,25,67.5,Debit Card,Yes
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,0,150.0,UPI,No
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,0,90.0,UPI,No
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,0,100.0,Credit Card,No
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,0,500.0,UPI,No
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,0,2000.0,Debit Card,No
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,20,24.0,Credit Card,Yes
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,25,375.0,UPI,Yes
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,0,120.0,Cash,No
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,0,2000.0,Debit Card,No
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,0,1000.0,Debit Card,No
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,0,60.0,Debit Card,No
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,15,510.0,UPI,Yes
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,15,850.0,Credit Card,Yes
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,0,100.0,Credit Card,No
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,0,1200.0,Credit Card,No
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,0,30.0,Credit Card,No
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,25,450.0,UPI,Yes
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,0,50.0,UPI,No
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,0,25.0,UPI,No
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,15,850.0,Credit Card,Yes
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,0,500.0,Debit Card,No
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,0,50.0,Debit Card,No
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,0,1200.0,Debit Card,No
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,20,60.0,UPI,Yes
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,0,2000.0,Debit Card,No
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,0,900.0,Debit Card,No
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,0,1500.0,Debit Card,No
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,0,1500.0,UPI,No
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,0,50.0,Credit Card,No
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,0,100.0,Credit Card,No
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,0,1500.0,Debit Card,No
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,0,30.0,UPI,No
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,0,1000.0,Credit Card,No
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,0,2000.0,UPI,No
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,20,120.0,Credit Card,Yes
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,0,50.0,Credit Card,No
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,0,200.0,UPI,No
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,0,120.0,UPI,No
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,20,48.0,UPI,Yes
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,0,2000.0,Cash,No
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,25,75.0,Cash,Yes
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,0,90.0,UPI,No
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,0,50.0,UPI,No
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,0,500.0,Cash,No
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,0,600.0,UPI,No
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,0,500.0,Cash,No
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,0,600.0,Debit Card,No
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,0,200.0,Credit Card,No
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,0,900.0,Cash,No
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,0,50.0,Debit Card,No
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,0,50.0,Debit Card,No
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,0,600.0,Credit Card,No
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,0,1000.0,UPI,No
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,0,200.0,UPI,No
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,0,2000.0,UPI,No
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,0,30.0,UPI,No
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,10,45.0,UPI,Yes
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,5,1140.0,UPI,Yes
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,0,50.0,Debit Card,No
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,0,1500.0,UPI,No
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,0,75.0,UPI,No
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,25,150.0,Credit Card,Yes
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,15,255.0,UPI,Yes
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,0,60.0,Credit Card,No
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,0,75.0,Credit Card,No
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,0,120.0,Credit Card,No
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,0,50.0,Debit Card,No
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,25,1500.0,UPI,Yes
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,0,1000.0,UPI,No
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,25,675.0,Cash,Yes
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,25,1500.0,UPI,Yes
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,0,100.0,UPI,No
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,0,2000.0,Cash,No
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,0,600.0,UPI,No
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,0,200.0,UPI,No
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,0,100.0,Debit Card,No
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,25,750.0,Credit Card,Yes
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,20,48.0,Debit Card,Yes
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,0,150.0,Debit Card,No
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,0,1500.0,Credit Card,No
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,25,900.0,Credit Card,Yes
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,0,2000.0,UPI,No
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,0,150.0,UPI,No
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,0,300.0,UPI,No
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,25,1125.0,Debit Card,Yes
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,0,50.0,Credit Card,No
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,25,675.0,Credit Card,Yes
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,0,50.0,Debit Card,No
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,0,120.0,Debit Card,No
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,0,300.0,Cash,No
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,0,100.0,UPI,No
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,0,100.0,UPI,No
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,25,75.0,Cash,Yes
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,0,60.0,Credit Card,No
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,0,300.0,Debit Card,No
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,0,900.0,Debit Card,No
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,0,1200.0,Credit Card,No
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,25,90.0,UPI,Yes
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,0,900.0,Debit Card,No
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,0,200.0,Cash,No
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,0,25.0,UPI,No
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,0,200.0,UPI,No
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,0,100.0,Debit Card,No
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,0,75.0,UPI,No
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,0,50.0,UPI,No
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,0,90.0,Credit Card,No
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,0,25.0,Credit Card,No
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,5,95.0,UPI,Yes
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,0,1500.0,UPI,No
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,20,160.0,Credit Card,Yes
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,0,30.0,Cash,No
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,0,900.0,UPI,No
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,0,200.0,Credit Card,No
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,25,675.0,Cash,Yes
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,0,1500.0,UPI,No
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,10,135.0,Debit Card,Yes
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,0,25.0,UPI,No
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,0,1200.0,Credit Card,No
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,0,1000.0,Cash,No
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,0,25.0,Credit Card,No
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,0,25.0,Debit Card,No
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,0,25.0,Cash,No
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,0,50.0,Debit Card,No
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,25,150.0,Cash,Yes
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,25,150.0,UPI,Yes
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,25,150.0,UPI,Yes
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,0,1500.0,Credit Card,No
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,0,1500.0,Cash,No
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,0,1500.0,UPI,No
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,0,60.0,Credit Card,No
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,0,1500.0,UPI,No
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,25,75.0,Debit Card,Yes
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,5,190.0,Credit Card,Yes
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,15,76.5,Cash,Yes
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,0,90.0,Credit Card,No
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,0,500.0,UPI,No
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,10,540.0,Debit Card,Yes
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,0,120.0,UPI,No
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,0,25.0,Credit Card,No
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,0,50.0,Debit Card,No
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,0,100.0,Debit Card,No
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,0,50.0,Credit Card,No
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,0,100.0,UPI,No
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,25,45.0,Credit Card,Yes
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,0,90.0,Credit Card,No
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,0,25.0,UPI,No
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,0,150.0,UPI,No
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,0,25.0,UPI,No
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,0,600.0,Debit Card,No
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,20,40.0,Credit Card,Yes
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,0,1000.0,Debit Card,No
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,0,25.0,Cash,No
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,0,1000.0,Credit Card,No
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,25,375.0,Credit Card,Yes
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,0,1500.0,Credit Card,No
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,0,300.0,Debit Card,No
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,0,75.0,UPI,No
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,0,25.0,UPI,No
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,0,900.0,Debit Card,No
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,0,100.0,Credit Card,No
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,25,67.5,Cash,Yes
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,0,50.0,Credit Card,No
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,0,60.0,UPI,No
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,0,900.0,UPI,No
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,0,50.0,Credit Card,No
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,0,50.0,Debit Card,No
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,0,200.0,Credit Card,No
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,0,300.0,UPI,No
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,0,2000.0,Credit Card,No
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,0,500.0,UPI,No
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,0,30.0,Debit Card,No
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,25,750.0,UPI,Yes
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,0,2000.0,Credit Card,No
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,15,42.5,UPI,Yes
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,0,200.0,UPI,No
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,0,60.0,UPI,No
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,0,50.0,Credit Card,No
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,25,90.0,UPI,Yes
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,10,54.0,Credit Card,Yes
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,25,675.0,Debit Card,Yes
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,0,900.0,Debit Card,No
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,25,45.0,UPI,Yes
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,0,90.0,Debit Card,No
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,25,22.5,UPI,Yes
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,25,1500.0,Debit Card,Yes
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,20,240.0,Credit Card,Yes
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,0,120.0,Cash,No
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,0,100.0,Debit Card,No
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,0,50.0,Debit Card,No
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,15,850.0,UPI,Yes
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,0,1000.0,Cash,No
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,0,100.0,Credit Card,No
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,0,100.0,UPI,No
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,0,100.0,UPI,No
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,0,500.0,UPI,No
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,0,1500.0,Debit Card,No
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,25,1500.0,Debit Card,Yes
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,0,200.0,Cash,No
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,0,500.0,Cash,No
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,20,160.0,Cash,Yes
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,5,23.75,Debit Card,Yes
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,0,50.0,Debit Card,No
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,15,85.0,Debit Card,Yes
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,0,120.0,Debit Card,No
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,0,60.0,Credit Card,No
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,0,600.0,Debit Card,No
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,0,600.0,Debit Card,No
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,25,900.0,Credit Card,Yes
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,25,67.5,UPI,Yes
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,0,90.0,Cash,No
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,0,900.0,Credit Card,No
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,25,900.0,Credit Card,Yes
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,0,1000.0,Credit Card,No
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,0,1200.0,Credit Card,No
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,0,1000.0,Cash,No
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,0,200.0,UPI,No
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,0,120.0,UPI,No
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,0,600.0,Credit Card,No
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,0,90.0,Credit Card,No
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,0,60.0,UPI,No
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,0,30.0,Cash,No
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,0,50.0,Cash,No
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,25,37.5,Credit Card,Yes
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,0,1200.0,Credit Card,No
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,5,23.75,Cash,Yes
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,25,18.75,Debit Card,Yes
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,0,100.0,Credit Card,No
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,0,120.0,UPI,No
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,0,1500.0,Credit Card,No
314,2023-04-08,CUST314,Male,52,Clothing,4,30,120,5,114.0,Debit Card,Yes
