Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Cost_Price,Discount,Profit
1088,2020-02-16,7334,Male,61,Sports,3,2598.0,8100.32,2037.24,13,1988.6
1468,2020-02-20,4534,Male,29,Clothing,2,3285.0,6815.43,2575.81,16,1663.81
1249,2020-02-25,2142,Female,52,Sports,3,3382.0,10441.32,2729.04,18,2254.2
1490,2020-02-27,5796,Female,58,Electronics,8,2737.0,22969.31,2138.33,20,5862.65
1089,2020-02-28,6293,Female,25,Sports,8,2772.0,22426.7,2083.55,18,5758.32
1328,2020-02-28,2843,Male,51,Sports,6,2667.0,16254.04,2073.54,19,3812.8
1525,2020-02-28,8978,Female,24,Sports,3,3349.0,9943.02,2674.58,12,1919.29
1070,2020-02-28,6021,Male,54,Home,6,2852.0,17404.23,2329.74,14,3425.78
1066,2020-02-28,2288,Male,23,Home,8,1586.0,12435.6,1246.28,18,2465.34
1916,2020-03-01,3839,Female,47,Beauty,2,1534.0,3161.19,1250.88,15,659.43
1131,2020-03-02,7042,Female,26,Beauty,3,2659.0,7925.86,2076.37,16,1696.76
1341,2020-03-03,4679,Female,36,Electronics,4,2968.0,11941.51,2246.7,17,2954.7
1368,2020-03-04,9967,Male,23,Beauty,4,1776.0,7325.51,1375.05,11,1825.32
1982,2020-03-07,6019,Male,60,Electronics,5,2422.0,12226.34,1800.5,11,3223.84
1907,2020-03-08,7068,Female,50,Sports,8,3417.0,28144.92,2648.02,20,6960.76
1237,2020-03-09,4176,Male,30,Sports,6,1706.0,10275.76,1303.23,11,2456.38
1557,2020-03-09,2136,Female,26,Clothing,3,3499.0,10772.97,2712.02,20,2636.91
1724,2020-03-12,4942,Female,53,Sports,6,1863.0,11190.83,1381.87,11,2899.62
1336,2020-03-12,4621,Male,20,Home,7,2099.0,15052.33,1631.3,18,3633.2
1773,2020-03-13,8363,Female,63,Beauty,8,1944.0,15890.7,1582.79,14,3228.41
1658,2020-03-15,6448,Male,33,Sports,3,2273.0,6977.45,1835.47,17,1471.03
1161,2020-03-16,1090,Female,20,Electronics,7,2074.0,15241.71,1593.07,17,4090.23
1231,2020-03-22,1305,Female,39,Clothing,2,1761.0,3547.6,1357.41,13,832.78
1429,2020-03-22,6174,Female,42,Home,2,2126.0,4456.21,1691.64,11,1072.93
1978,2020-03-26,2535,Female,28,Clothing,8,2257.0,18799.23,1756.21,19,4749.57
1365,2020-03-26,9600,Female,54,Beauty,2,2715.0,5518.51,1984.36,16,1549.79
1669,2020-03-29,6136,Male,26,Clothing,7,1659.0,11956.98,1268.32,10,3078.76
1664,2020-03-29,7924,Female,63,Beauty,6,3406.0,20168.3,2717.91,12,3860.82
1792,2020-03-29,3378,Male,40,Sports,2,1255.0,2473.31,959.79,10,553.73
1594,2020-03-30,7623,Female,49,Home,5,2923.0,15273.74,2126.94,20,4639.05
1329,2020-03-30,8374,Male,63,Sports,5,2664.0,13981.84,1923.54,17,4364.13
1727,2020-03-31,4517,Male,25,Home,8,2296.0,18934.75,1707.13,10,5277.67
1613,2020-03-31,4134,Male,21,Sports,3,1294.0,4071.67,933.83,14,1270.18
1532,2020-04-01,5212,Female,45,Beauty,8,2690.0,20035.6,2089.65,19,3318.41
1932,2020-04-02,9159,Female,31,Sports,8,1790.0,12916.95,1320.22,13,2355.21
1979,2020-04-05,9011,Male,25,Electronics,3,3391.0,9541.66,2453.72,11,2180.49
1371,2020-04-08,7486,Male,25,Home,3,3303.0,9329.35,2597.55,11,1536.7
1765,2020-04-10,9079,Male,43,Electronics,5,2141.0,9858.68,1721.76,10,1249.88
1122,2020-04-11,4277,Female,30,Home,5,2359.0,10857.18,1817.0,14,1772.19
1751,2020-04-11,6763,Female,60,Electronics,8,2611.0,19131.72,1940.21,15,3610.01
1619,2020-04-12,6863,Female,51,Sports,7,2332.0,14910.15,1757.51,20,2607.61
1920,2020-04-12,8586,Female,39,Clothing,7,2508.0,15803.67,1818.69,14,3072.87
1182,2020-04-14,8216,Male,65,Beauty,3,3014.0,8201.44,2435.89,13,893.79
1975,2020-04-15,3869,Female,27,Electronics,3,2679.0,7447.08,2098.23,20,1152.39
1853,2020-04-16,1630,Female,26,Electronics,3,2993.0,8186.84,2325.52,11,1210.28
1364,2020-04-16,3589,Female,48,Sports,6,2865.0,15661.24,2147.31,13,2777.37
1102,2020-04-16,7553,Female,55,Home,2,2752.0,5148.63,2236.09,14,676.45
1008,2020-04-17,4460,Male,58,Sports,4,1608.0,5957.69,1168.76,13,1282.63
1722,2020-04-17,3340,Female,30,Home,2,3175.0,6022.24,2378.12,19,1265.99
1896,2020-04-18,6331,Male,43,Home,6,3105.0,17184.84,2473.81,11,2341.99
1605,2020-04-25,1408,Female,44,Beauty,7,3309.0,21485.41,2664.63,15,2833.02
1647,2020-04-25,3682,Male,49,Beauty,8,2768.0,20682.71,2258.51,20,2614.64
1603,2020-04-28,1267,Female,53,Sports,7,1395.0,8852.82,1102.89,10,1132.62
1118,2020-04-28,8188,Female,42,Clothing,4,2832.0,10381.9,2252.1,14,1373.52
1860,2020-04-29,2813,Male,47,Clothing,3,2350.0,6447.58,1820.25,13,986.82
1466,2020-04-29,7355,Female,42,Beauty,7,2296.0,15247.21,1770.7,20,2852.29
1562,2020-05-03,7887,Female,22,Home,8,3186.0,22959.52,2387.57,11,3858.94
1274,2020-05-05,9976,Female,51,Beauty,8,2402.0,17467.07,1856.06,20,2618.59
1350,2020-05-09,5228,Male,29,Clothing,8,2282.0,17215.52,1791.81,19,2881.05
1312,2020-05-11,8686,Male,18,Electronics,8,2591.0,18993.22,1866.61,11,4060.3
1316,2020-05-13,4031,Female,36,Beauty,7,1583.0,10068.56,1176.95,12,1829.93
1828,2020-05-14,2455,Female,59,Electronics,7,3170.0,20702.89,2329.13,14,4398.97
1471,2020-05-15,2783,Male,42,Electronics,8,1977.0,14743.15,1501.6,17,2730.39
1939,2020-05-16,6585,Female,59,Sports,4,2112.0,7776.11,1553.82,15,1560.81
1477,2020-05-19,5146,Female,46,Home,7,1457.0,9419.71,1099.33,20,1724.37
1009,2020-05-20,1775,Male,32,Beauty,6,2415.0,13113.38,1968.23,15,1304.01
1850,2020-05-24,4156,Male,47,Electronics,5,2514.0,11900.95,1978.45,12,2008.69
1485,2020-05-25,1008,Male,19,Electronics,6,2578.0,14081.46,1974.95,13,2231.74
1045,2020-05-28,1282,Male,29,Sports,7,1851.0,11735.12,1379.1,19,2081.43
1178,2020-05-29,8450,Female,40,Electronics,6,3371.0,19028.85,2748.3,18,2539.05
1530,2020-05-30,8287,Male,46,Sports,7,3202.0,20386.21,2518.65,18,2755.69
1725,2020-05-30,4493,Male,25,Electronics,7,2726.0,17765.22,2087.92,11,3149.8
1533,2020-05-31,7985,Female,48,Beauty,7,2835.0,17969.41,2056.37,10,3574.8
1104,2020-06-01,4627,Male,27,Sports,5,2241.0,10601.81,1618.52,18,2509.19
1817,2020-06-02,4715,Male,62,Sports,4,1909.0,7029.3,1504.28,13,1012.16
1164,2020-06-06,3555,Male,62,Clothing,7,2159.0,13963.69,1734.04,20,1825.4
1774,2020-06-06,5147,Male,53,Beauty,7,1755.0,11623.29,1392.28,18,1877.35
1391,2020-06-10,3557,Female,50,Beauty,5,3064.0,14162.86,2375.34,12,2286.15
1338,2020-06-11,6014,Female,26,Clothing,7,1938.0,12548.64,1570.73,13,1553.55
1856,2020-06-12,2204,Female,47,Beauty,4,2570.0,9655.55,1885.95,11,2111.74
1657,2020-06-15,6973,Female,36,Home,8,1686.0,12468.03,1251.94,16,2452.53
1366,2020-06-17,9535,Female,21,Beauty,5,1608.0,7263.78,1218.38,13,1171.86
1575,2020-06-22,8117,Female,49,Home,3,1693.0,4581.49,1384.53,13,427.91
1158,2020-06-22,4055,Female,51,Sports,6,2287.0,12983.83,1716.04,20,2687.6
1165,2020-06-27,6196,Male,63,Sports,8,2088.0,15191.39,1582.31,17,2532.92
1730,2020-06-30,3018,Male,53,Electronics,6,3287.0,17844.53,2639.92,20,2004.98
1254,2020-07-02,4586,Male,18,Clothing,4,3019.0,12380.47,2215.49,12,3518.52
1539,2020-07-02,4971,Female,49,Clothing,2,2875.0,5997.66,2150.74,13,1696.19
1160,2020-07-05,7282,Male,49,Clothing,3,3411.0,10546.09,2512.75,14,3007.84
1581,2020-07-05,6821,Male,32,Sports,7,1950.0,13648.09,1454.42,12,3467.16
1826,2020-07-06,2717,Female,37,Beauty,2,3332.0,6890.72,2658.81,14,1573.09
1587,2020-07-07,2942,Female,33,Electronics,6,2484.0,15465.57,1899.5,10,4068.57
1394,2020-07-12,9631,Male,20,Beauty,2,3251.0,6800.87,2442.93,16,1915.01
1726,2020-07-13,9318,Female,45,Beauty,2,2130.0,4335.1,1616.88,19,1101.34
1110,2020-07-15,5860,Male,43,Beauty,4,3380.0,13250.95,2653.52,15,2636.89
1601,2020-07-17,9542,Male,59,Home,5,2054.0,10471.56,1640.36,14,2269.77
1495,2020-07-18,1640,Female,23,Clothing,6,2282.0,13857.78,1660.44,18,3895.13
1674,2020-07-20,3850,Male,45,Home,2,2361.0,4730.79,1716.85,15,1297.1
1695,2020-07-22,2765,Male,25,Sports,5,3116.0,16150.14,2356.18,19,4369.21
1232,2020-07-22,9934,Male,33,Electronics,2,2093.0,4227.65,1565.6,17,1096.45
1410,2020-07-23,3990,Male,50,Home,2,2932.0,5845.9,2319.33,12,1207.23
1221,2020-07-23,9617,Male,28,Sports,7,2967.0,21478.69,2318.36,13,5250.15
1472,2020-07-25,4011,Female,42,Sports,2,2251.0,4443.92,1679.32,17,1085.27
1673,2020-07-25,7039,Male,42,Electronics,6,1562.0,9769.57,1223.08,20,2431.09
1741,2020-07-26,5089,Male,63,Sports,2,2481.0,5081.79,1897.5,14,1286.79
1323,2020-07-29,3239,Male,62,Clothing,7,1544.0,11292.44,1126.22,16,3408.93
1497,2020-08-01,9817,Male,24,Electronics,7,1301.0,9089.47,994.7,16,2126.56
1389,2020-08-03,8068,Female,65,Clothing,8,1625.0,13333.42,1208.45,16,3665.83
1777,2020-08-06,7398,Male,36,Home,2,1337.0,2801.63,1060.26,18,681.11
1843,2020-08-09,3730,Male,50,Home,3,2853.0,8577.87,2110.1,12,2247.57
1358,2020-08-11,1905,Male,34,Sports,6,3244.0,19171.49,2619.14,15,3456.65
1275,2020-08-12,3707,Male,61,Electronics,6,1242.0,7477.15,913.58,16,1995.68
1156,2020-08-13,5115,Female,19,Electronics,6,2225.0,13093.84,1708.88,19,2840.57
1197,2020-08-18,9226,Male,20,Home,5,3036.0,15076.65,2347.81,18,3337.63
1135,2020-08-19,5004,Female,49,Clothing,5,2282.0,11657.7,1661.7,16,3349.19
1909,2020-08-22,3519,Male,60,Beauty,5,1302.0,6622.32,1025.64,16,1494.11
1018,2020-08-23,1645,Female,65,Electronics,2,1676.0,3390.55,1213.82,15,962.91
1225,2020-08-23,2549,Female,62,Home,7,3449.0,24620.85,2558.26,13,6713.0
1901,2020-08-24,5496,Male,35,Sports,2,2432.0,5038.58,1791.15,15,1456.27
1837,2020-08-24,6151,Female,36,Electronics,6,1490.0,9039.64,1183.04,17,1941.38
1431,2020-08-26,3520,Male,58,Clothing,6,3357.0,20984.46,2698.51,15,4793.39
1881,2020-08-26,1417,Male,56,Beauty,8,3024.0,25386.13,2422.21,20,6008.45
1388,2020-08-26,5923,Male,42,Beauty,7,1663.0,12185.78,1203.85,20,3758.8
1965,2020-08-27,8457,Female,27,Beauty,5,1566.0,7755.66,1160.41,11,1953.59
1242,2020-08-27,9090,Female,62,Home,4,2806.0,11386.91,2192.93,13,2615.19
1322,2020-08-27,4040,Male,51,Clothing,4,1723.0,7030.96,1381.13,16,1506.45
1893,2020-08-27,7958,Male,25,Clothing,5,2034.0,10591.05,1601.85,17,2581.82
1372,2020-08-28,4759,Male,50,Home,3,2141.0,6730.04,1618.42,10,1874.79
1966,2020-08-30,4392,Female,50,Sports,3,2728.0,8160.93,1972.11,18,2244.61
1148,2020-08-31,7718,Female,62,Electronics,3,1948.0,6076.44,1414.11,11,1834.11
1911,2020-09-04,1319,Female,19,Sports,7,1246.0,8599.43,1014.55,14,1497.56
1548,2020-09-07,3392,Female,56,Clothing,4,2649.0,10471.11,2044.69,10,2292.36
1936,2020-09-07,8095,Male,54,Home,7,1300.0,9451.78,963.7,10,2705.89
1411,2020-09-09,9468,Female,55,Beauty,3,2740.0,8261.65,2031.97,15,2165.73
1684,2020-09-10,6133,Male,65,Electronics,6,2385.0,14982.47,1899.86,12,3583.32
1763,2020-09-11,4441,Female,18,Electronics,2,1300.0,2581.12,954.78,16,671.56
1270,2020-09-12,7724,Female,62,Electronics,3,3341.0,10084.51,2680.75,18,2042.25
1112,2020-09-13,4821,Female,21,Home,4,3254.0,13114.38,2521.26,12,3029.33
1937,2020-09-16,7834,Female,21,Sports,7,1562.0,10905.91,1259.31,13,2090.73
1622,2020-09-20,4913,Male,35,Beauty,4,1705.0,6761.78,1247.8,19,1770.57
1749,2020-09-20,6060,Male,54,Clothing,2,2997.0,5996.19,2214.11,20,1567.96
1938,2020-09-24,4643,Female,61,Home,3,3330.0,10276.94,2656.22,10,2308.29
1012,2020-09-25,6015,Male,35,Beauty,8,3178.0,25426.66,2301.18,16,7017.25
1054,2020-09-25,3258,Female,63,Electronics,3,2981.0,9032.83,2313.5,12,2092.34
1764,2020-09-27,7083,Male,60,Home,7,2261.0,16613.0,1799.86,18,4013.95
1207,2020-09-27,4705,Male,42,Sports,4,2067.0,8125.91,1631.63,15,1599.41
1960,2020-09-27,8100,Female,20,Home,3,3486.0,10941.79,2795.11,15,2556.47
1428,2020-09-30,7863,Female,58,Sports,3,2647.0,7944.5,1971.92,20,2028.75
1278,2020-10-01,3392,Female,39,Sports,7,2199.0,17191.86,1586.57,14,6085.85
1235,2020-10-01,4076,Female,23,Clothing,4,2344.0,11162.28,1773.57,10,4067.99
1461,2020-10-01,8992,Female,58,Electronics,2,1620.0,3841.16,1205.79,18,1429.57
1555,2020-10-02,1146,Male,30,Home,8,1640.0,15507.45,1339.85,10,4788.66
1265,2020-10-03,5130,Male,48,Beauty,4,3448.0,15593.7,2706.54,14,4767.54
1171,2020-10-07,9325,Female,28,Clothing,3,3404.0,11813.17,2470.18,17,4402.63
1067,2020-10-08,3626,Male,64,Electronics,3,1922.0,6574.38,1469.45,16,2166.02
1972,2020-10-10,9701,Male,61,Clothing,7,1527.0,12026.39,1106.77,14,4278.98
1814,2020-10-12,4788,Female,44,Sports,5,2455.0,14608.01,1818.5,18,5515.49
1847,2020-10-12,8813,Male,35,Clothing,4,1758.0,8067.84,1367.24,18,2598.9
1483,2020-10-14,8802,Female,31,Beauty,6,1499.0,10502.45,1193.96,14,3338.69
1786,2020-10-15,4496,Male,29,Clothing,4,2581.0,11806.63,2067.89,11,3535.06
1629,2020-10-16,4157,Male,30,Sports,8,1609.0,14828.83,1193.19,13,5283.31
1746,2020-10-18,6117,Female,23,Home,6,1662.0,11457.87,1240.97,15,4012.04
1648,2020-10-21,8655,Female,63,Home,3,2521.0,8406.06,1824.44,17,2932.73
1865,2020-10-22,2745,Female,47,Home,4,3415.0,16115.27,2668.7,15,5440.48
1236,2020-10-23,6653,Male,34,Beauty,7,2002.0,15522.0,1551.62,16,4660.64
1003,2020-10-23,9542,Female,42,Beauty,5,1518.0,8730.54,1151.83,20,2971.4
1255,2020-10-24,2584,Male,33,Electronics,7,2380.0,19411.69,1813.97,20,6713.91
1167,2020-10-24,5160,Male,62,Electronics,6,2349.0,15839.53,1906.95,10,4397.84
1239,2020-10-25,7009,Male,27,Clothing,8,2749.0,24346.12,2025.61,19,8141.26
1192,2020-10-29,1064,Male,37,Electronics,2,2248.0,4961.68,1748.49,15,1464.7
1179,2020-11-01,4117,Male,65,Electronics,5,1758.0,10191.17,1421.81,19,3082.14
1139,2020-11-07,8272,Female,23,Home,3,2286.0,8036.78,1732.95,11,2837.93
1529,2020-11-09,6997,Female,29,Home,7,1411.0,10933.41,1102.41,12,3216.51
1400,2020-11-12,3093,Male,45,Electronics,6,2824.0,18876.77,2137.78,18,6050.11
1659,2020-11-14,4749,Female,57,Clothing,4,2132.0,9677.46,1553.47,20,3463.56
1185,2020-11-15,1680,Male,65,Home,3,1911.0,6663.48,1436.34,12,2354.47
1190,2020-11-15,4324,Male,41,Beauty,4,2814.0,13111.28,2203.24,14,4298.3
1643,2020-11-15,9835,Female,65,Clothing,5,1993.0,11620.63,1629.83,13,3471.46
1717,2020-11-16,8766,Female,45,Electronics,2,2362.0,5332.99,1936.5,18,1460.0
1897,2020-11-19,2621,Male,42,Beauty,7,3139.0,25643.9,2569.43,17,7657.87
1095,2020-11-20,2275,Male,62,Clothing,3,1402.0,4835.65,1111.08,16,1502.41
1760,2020-11-21,7221,Female,29,Clothing,8,1255.0,11782.51,987.89,15,3879.39
1436,2020-11-21,4557,Male,61,Clothing,4,1866.0,8806.86,1412.61,19,3156.42
1770,2020-11-22,1199,Male,41,Home,4,1219.0,5628.27,887.38,11,2078.75
1277,2020-11-23,4819,Female,62,Clothing,4,2372.0,10711.55,1909.56,10,3073.32
1851,2020-11-24,5704,Female,22,Beauty,5,3135.0,18054.92,2323.09,10,6439.47
1747,2020-11-25,5217,Female,54,Sports,7,1663.0,12862.23,1318.54,15,3632.44
1229,2020-11-27,6660,Male,44,Beauty,4,2650.0,12302.57,2145.89,15,3719.01
1053,2020-11-27,3586,Female,26,Electronics,5,3460.0,19509.53,2530.34,18,6857.84
1040,2020-11-28,3841,Female,50,Electronics,3,1236.0,4145.02,945.69,12,1307.95
1682,2020-12-02,5117,Male,65,Electronics,6,2364.0,16837.67,1797.33,17,6053.66
1248,2020-12-03,4502,Female,56,Beauty,3,2071.0,6967.92,1601.97,12,2162.02
1451,2020-12-05,3593,Male,29,Sports,8,1820.0,16532.13,1373.77,12,5541.99
1507,2020-12-05,2049,Female,38,Home,3,1810.0,6021.52,1385.89,20,1863.86
1496,2020-12-07,1373,Female,40,Beauty,4,1932.0,8897.34,1581.1,13,2572.92
1625,2020-12-08,4005,Female,20,Electronics,4,2033.0,9359.74,1528.87,18,3244.26
1849,2020-12-13,7208,Female,58,Sports,6,2151.0,14927.4,1717.56,12,4622.03
1985,2020-12-15,4107,Male,20,Clothing,5,3039.0,17115.96,2193.97,20,6146.12
1416,2020-12-16,3604,Female,65,Electronics,7,1575.0,12359.64,1200.64,13,3955.19
1689,2020-12-18,6704,Male,55,Home,5,1709.0,9449.28,1346.87,12,2714.93
1240,2020-12-18,2793,Male,34,Home,3,1791.0,6273.79,1332.68,20,2275.73
1704,2020-12-24,6555,Male,23,Beauty,5,1228.0,6855.29,997.66,11,1866.99
1413,2020-12-25,9834,Female,36,Electronics,5,2285.0,12970.49,1666.61,13,4637.42
1028,2020-12-25,5034,Female,32,Electronics,8,2602.0,24520.62,2050.6,10,8115.81
1433,2020-12-28,8777,Male,56,Sports,4,3375.0,15097.66,2692.96,18,4325.82
1586,2020-12-28,6837,Male,27,Home,8,3326.0,30576.13,2637.46,11,9476.43
1931,2020-12-29,9018,Male,39,Home,4,2876.0,13277.8,2076.84,15,4970.45
1888,2020-12-30,6003,Male,36,Home,4,1264.0,5825.41,939.99,14,2065.44
1875,2020-12-30,5443,Male,52,Beauty,5,2014.0,11100.59,1573.66,19,3232.27
1035,2020-12-31,1716,Female,23,Clothing,6,3090.0,20435.16,2361.63,15,6265.38
1024,2020-12-31,1577,Female,52,Sports,5,2793.0,15776.1,2099.92,15,5276.51
1891,2021-01-01,5598,Male,50,Home,5,2052.79,10153.13,1560.1,17,2352.63
1838,2021-01-03,9125,Female,52,Home,7,2283.51,16004.28,1664.9,12,4350.01
1308,2021-01-03,2013,Female,54,Electronics,2,3471.1,6910.73,2562.0,15,1786.73
1716,2021-01-10,6320,Male,63,Beauty,6,2906.66,17171.92,2373.88,13,2928.64
1449,2021-01-10,4443,Male,52,Electronics,8,1432.73,11611.55,1152.27,15,2393.35
1902,2021-01-11,4595,Female,40,Beauty,3,1411.1,4324.94,1017.87,15,1271.32
1531,2021-01-14,9947,Male,53,Beauty,2,2487.45,5084.51,2009.28,10,1065.95
1128,2021-01-15,4333,Female,51,Beauty,7,2664.61,18897.2,2138.98,12,3924.31
1715,2021-01-15,8463,Female,33,Sports,7,3569.98,24835.09,2872.22,20,4729.58
1454,2021-01-20,1322,Male,55,Electronics,5,2298.96,11566.92,1771.63,15,2708.76
1810,2021-01-24,4310,Male,43,Clothing,4,1802.5,7453.44,1455.14,11,1632.87
1353,2021-01-25,2601,Female,33,Clothing,6,1293.68,8126.25,995.06,20,2155.88
1283,2021-01-29,8888,Female,58,Electronics,8,3282.61,26563.99,2537.3,15,6265.59
1423,2021-01-31,8975,Female,59,Beauty,7,3184.76,22340.54,2381.55,20,5669.73
1942,2021-01-31,1977,Female,54,Beauty,4,1633.58,6817.17,1275.09,15,1716.81
1299,2021-01-31,4437,Female,57,Sports,5,1690.23,8374.58,1350.36,16,1622.78
1784,2021-02-02,1636,Female,37,Sports,6,1633.58,9622.56,1297.26,17,1838.97
1437,2021-02-04,2660,Male,33,Sports,7,2605.9,18820.59,1892.25,13,5574.86
1671,2021-02-05,8440,Male,36,Home,7,2835.59,19630.01,2236.48,17,3974.67
1369,2021-02-08,9780,Female,31,Electronics,3,2936.53,8726.42,2201.22,10,2122.75
1262,2021-02-14,4251,Male,37,Clothing,8,2057.94,17192.74,1507.21,20,5135.03
1170,2021-02-16,3865,Male,39,Electronics,7,2881.94,21112.41,2234.83,15,5468.59
1616,2021-02-16,8619,Female,30,Electronics,6,3204.33,19186.15,2539.59,12,3948.63
1655,2021-02-17,6165,Female,49,Home,4,1434.79,5888.12,1066.42,17,1622.43
1898,2021-02-19,4583,Female,27,Beauty,5,2361.79,12115.11,1831.8,20,2956.1
1376,2021-02-21,6077,Male,19,Sports,2,2491.57,4889.96,2016.61,11,856.73
1734,2021-02-21,3775,Male,63,Beauty,2,3053.95,6004.04,2321.79,17,1360.46
1000,2021-02-24,4055,Male,60,Sports,7,2332.95,16661.68,1801.07,15,4054.16
1154,2021-02-26,8282,Female,40,Beauty,4,2064.12,8269.63,1559.04,10,2033.48
1870,2021-03-01,5040,Male,20,Clothing,8,3154.89,25390.36,2389.5,16,6274.35
1202,2021-03-01,3154,Female,42,Home,2,3098.24,6250.66,2533.68,20,1183.31
1680,2021-03-02,4566,Female,60,Beauty,6,3605.0,22188.91,2833.43,12,5188.31
1706,2021-03-02,1922,Female,61,Sports,7,1800.44,13134.45,1338.18,18,3767.21
1091,2021-03-04,4766,Male,64,Sports,8,1473.93,12044.79,1061.94,16,3549.29
1750,2021-03-05,1108,Female,51,Electronics,5,1718.04,8719.16,1315.11,17,2143.62
1453,2021-03-06,5038,Male,27,Sports,2,1690.23,3454.51,1285.71,15,883.08
1781,2021-03-07,4225,Male,34,Electronics,3,2129.01,6575.21,1696.4,17,1486.01
1956,2021-03-07,9055,Male,26,Electronics,5,1801.47,9430.67,1300.89,19,2926.23
1383,2021-03-08,3814,Male,53,Clothing,4,1548.09,6140.69,1207.25,13,1311.69
1974,2021-03-09,2153,Male,32,Electronics,5,2201.11,10871.05,1739.89,11,2171.6
1756,2021-03-10,9170,Male,50,Home,3,1829.28,5502.77,1341.05,19,1479.62
1864,2021-03-10,2654,Female,58,Electronics,7,2032.19,14168.08,1591.72,20,3026.05
998,2021-03-14,5511,Male,28,Beauty,6,1897.26,11379.31,1479.46,10,2502.55
1735,2021-03-15,8903,Female,46,Clothing,8,2081.63,16825.38,1514.0,19,4713.4
1861,2021-03-16,2239,Male,34,Home,7,2704.78,19209.12,2185.39,20,3911.39
1387,2021-03-17,4872,Female,64,Sports,8,3399.0,27994.66,2751.19,20,5985.15
